species,od,temp(G),time point
WYM25_02,0.166033333,15,20
WYM25_02,0.158966667,15,24
WYM25_02,0.170633333,15,28
WYM25_02,0.162333333,15,32
WYM25_02,0.1501,15,44
WYM25_02,0.154766667,15,48
WYM25_02,0.156133333,15,52
WYM25_02,0.154033333,15,56
WYM25_02,0.151866667,15,68
WYM25_02,0.155533333,15,72
WYM25_02,0.155533333,15,76
WYM25_02,0.1611,15,80
WYM25_02,0.169366667,15,92
WYM25_02,0.169866667,15,96
WYM25_02,0.1707,15,100
WYM25_02,0.1688,15,104
WYM25_02,0.1798,15,116
WYM25_02,0.17855,15,120
WYM25_02,-0.0005,18,0
WYM25_02,0.027466667,18,4
WYM25_02,0.049466667,18,8
WYM25_02,0.165166667,18,20
WYM25_02,0.1886,18,24
WYM25_02,0.1871,18,28
WYM25_02,0.1866,18,32
WYM25_02,0.1943,18,44
WYM25_02,0.2034,18,48
WYM25_02,0.2124,18,52
WYM25_02,0.2206,18,56
WYM25_02,0.2302,18,68
WYM25_02,0.237,18,72
WYM25_02,0.2386,18,76
WYM25_02,0.2419,18,80
WYM25_02,0.2412,18,92
WYM25_02,0.2318,18,96
WYM25_02,0.22572,18,100
WYM25_02,0.2264,18,104
WYM25_02,0.2276,18,116
WYM25_02,0.231,18,120
WYM25_02,0.0038,21,0
WYM25_02,0.038133333,21,4
WYM25_02,0.056266667,21,8
WYM25_02,0.1968,21,20
WYM25_02,0.186,21,24
WYM25_02,0.2082,21,28
WYM25_02,0.2238,21,32
WYM25_02,0.2441,21,44
WYM25_02,0.2023,21,48
WYM25_02,0.2113,21,52
WYM25_02,0.2041,21,56
WYM25_02,0.224,21,68
WYM25_02,0.24045,21,72
WYM25_02,0.2312,21,76
WYM25_02,0.24055,21,80
WYM25_02,0.2453,21,92
WYM25_02,0.2402,21,96
WYM25_02,0.2373,21,100
WYM25_02,0.23275,21,104
WYM25_02,0.2352,21,116
WYM25_02,0.22,21,120
WYM25_02,0.0092,25,0
WYM25_02,0.045833333,25,4
WYM25_02,0.1268,25,8
WYM25_02,0.2063,25,20
WYM25_02,0.2143,25,24
WYM25_02,0.24725,25,28
WYM25_02,0.21825,25,32
WYM25_02,0.2573,25,44
WYM25_02,0.2442,25,48
WYM25_02,0.267866667,25,52
WYM25_02,0.265466667,25,56
WYM25_02,0.286,25,68
WYM25_02,0.284566667,25,72
WYM25_02,0.2889,25,76
WYM25_02,0.292,25,80
WYM25_02,0.292366667,25,92
WYM25_02,0.2725,25,96
WYM25_02,0.3077,25,100
WYM25_02,0.2798,25,104
WYM25_02,0.2978,25,116
WYM25_02,0.2867,25,120
WYM25_02,0.0078,28,0
WYM25_02,0.058333333,28,4
WYM25_02,0.103133333,28,8
WYM25_02,0.225033333,28,20
WYM25_02,0.251833333,28,24
WYM25_02,0.262,28,28
WYM25_02,0.2722,28,32
WYM25_02,0.2721,28,44
WYM25_02,0.235566667,28,48
WYM25_02,0.239433333,28,52
WYM25_02,0.2495,28,56
WYM25_02,0.231933333,28,68
WYM25_02,0.2445,28,72
WYM25_02,0.258,28,76
WYM25_02,0.2656,28,80
WYM25_02,0.264666667,28,92
WYM25_02,0.259666667,28,96
WYM25_02,0.268333333,28,100
WYM25_02,0.2405,28,104
WYM25_02,0.244,28,116
WYM25_02,0.233833333,28,120
WYM25_03,0.0015,12,0
WYM25_03,0.0155,12,4
WYM25_03,0.017,12,8
WYM25_03,0.0759,12,20
WYM25_03,0.104,12,24
WYM25_03,0.1532,12,28
WYM25_03,0.19195,12,32
WYM25_03,0.1898,12,44
WYM25_03,0.178,12,48
WYM25_03,0.17155,12,52
WYM25_03,0.172333333,12,56
WYM25_03,0.1715,12,68
WYM25_03,0.1721,12,72
WYM25_03,0.172966667,12,76
WYM25_03,0.173533333,12,80
WYM25_03,0.173,12,92
WYM25_03,0.1775,12,96
WYM25_03,0.172333333,12,100
WYM25_03,0.1728,12,104
WYM25_03,0.172,12,116
WYM25_03,0.165233333,12,120
WYM25_03,0.0053,15,0
WYM25_03,0.0148,15,4
WYM25_03,0.0297,15,8
WYM25_03,0.1327,15,20
WYM25_03,0.175133333,15,24
WYM25_03,0.1778,15,28
WYM25_03,0.180666667,15,32
WYM25_03,0.155933333,15,44
WYM25_03,0.1536,15,48
WYM25_03,0.152133333,15,52
WYM25_03,0.148866667,15,56
WYM25_03,0.153866667,15,68
WYM25_03,0.151866667,15,72
WYM25_03,0.150866667,15,76
WYM25_03,0.154433333,15,80
WYM25_03,0.163866667,15,92
WYM25_03,0.162366667,15,96
WYM25_03,0.161866667,15,100
WYM25_03,0.158966667,15,104
WYM25_03,0.170966667,15,116
WYM25_03,0.168633333,15,120
WYM25_03,-0.002,18,0
WYM25_03,-0.0017,18,4
WYM25_03,0.0393,18,8
WYM25_03,0.181666667,18,20
WYM25_03,0.204866667,18,24
WYM25_03,0.1985,18,28
WYM25_03,0.190833333,18,32
WYM25_03,0.182166667,18,44
WYM25_03,0.1876,18,48
WYM25_03,0.195,18,52
WYM25_03,0.201,18,56
WYM25_03,0.2107,18,68
WYM25_03,0.2156,18,72
WYM25_03,0.2156,18,76
WYM25_03,0.2169,18,80
WYM25_03,0.2086,18,92
WYM25_03,0.2124,18,96
WYM25_03,0.20552,18,100
WYM25_03,0.204,18,104
WYM25_03,0.208333333,18,116
WYM25_03,0.194666667,18,120
WYM25_03,0.0018,21,0
WYM25_03,0.0134,21,4
WYM25_03,0.057266667,21,8
WYM25_03,0.191533333,21,20
WYM25_03,0.2077,21,24
WYM25_03,0.2024,21,28
WYM25_03,0.2086,21,32
WYM25_03,0.223433333,21,44
WYM25_03,0.206366667,21,48
WYM25_03,0.2069,21,52
WYM25_03,0.2061,21,56
WYM25_03,0.216333333,21,68
WYM25_03,0.2327,21,72
WYM25_03,0.2267,21,76
WYM25_03,0.219466667,21,80
WYM25_03,0.2269,21,92
WYM25_03,0.2212,21,96
