Spent_media,Temp,Species,Rmax,K,AUC,AUCf,aucratio,log10(ratio)
BB19_16,21,S18,0.070649628,0.297493607,24.69162501,21.81786666,1.131715827,0.0537 
BB19_16,25,S18,0.108462971,0.225846773,19.79649999,23.3699,0.847093911,-0.0721 
BB19_16,12,S56,0.14520048,0.265051983,23.62258334,16.0574,1.471133766,0.1677 
BB19_16,15,S56,0.042523181,0.399515343,16.212,19.30353333,0.839846246,-0.0758 
BB19_16,18,S56,0.094970185,0.163996607,13.8913,25.66334667,0.541289497,-0.2666 
BB19_16,21,S56,0.102688469,0.212660536,18.74300001,22.62203333,0.82852853,-0.0817 
BB19_16,25,S56,0.108957752,0.292190828,28.84700001,25.96493335,1.110998423,0.0457 
BB19_16,12,BB19_16,0.111307574,0.209361825,20.77841667,26.92722667,0.771650825,-0.1126 
BB19_16,15,BB19_16,0.040122852,0.135943661,10.53150002,28.36453333,0.371291144,-0.4303 
BB19_16,18,BB19_16,0.128258568,0.166754166,16.27874999,26.72568,0.609105175,-0.2153 
BB19_16,21,BB19_16,0.127631752,0.169236064,16.90875,25.99873333,0.650368223,-0.1868 
BB19_16,25,BB19_16,0.141678334,0.144534835,14.59599998,30.68213334,0.475716594,-0.3227 
BB19_16,12,WYC41_02,1.324314233,0.207081615,23.17075002,17.44893333,1.327917849,0.1232 
BB19_16,15,WYC41_02,0.286292119,0.202221104,21.90383334,17.09456666,1.281333056,0.1077 
BB19_16,18,WYC41_02,1.438063718,0.144446505,16.44795,23.02688,0.714293469,-0.1461 
BB19_16,21,WYC41_02,0.469801704,0.143127536,16.61645001,25.14486667,0.660828718,-0.1799 
BB19_16,25,WYC41_02,0.00156524,-0.03456394,18.42033332,28.2622,0.651765727,-0.1859 
BB19_16,12,WYM25_02,0.34396599,0.230594559,21.88468334,17.8912,1.223209362,0.0875 
BB19_16,15,WYM25_02,0.046202102,0.371694073,27.71533332,17.62583333,1.572426835,0.1966 
BB19_16,18,WYM25_02,0.542546972,0.139721315,15.673875,23.33681334,0.67163733,-0.1729 
BB19_16,21,WYM25_02,0.32758268,0.152718965,17.45135001,24.45086667,0.713731347,-0.1465 
BB19_16,25,WYM25_02,0.026562853,0.298706537,22.07791668,29.46093334,0.749396376,-0.1253 
BB19_16,12,WYM25_03,0.437126732,0.192315522,19.95683334,17.68059999,1.128741861,0.0526 
BB19_16,15,WYM25_03,0.277122688,0.199736774,21.6705,17.14933335,1.263635126,0.1016 
BB19_16,18,WYM25_03,0.662558234,-0.003075204,-0.390000006,21.66688,-0.017999823,#NUM!
BB19_16,21,WYM25_03,0.042566538,0.218265239,20.56360001,23.2406,0.884813646,-0.0531 
BB19_16,25,WYM25_03,0.024600376,0.251439814,18.04583332,26.28133334,0.686640708,-0.1633 
BB19_16,12,BB13_09,0.342054182,0.190487566,20.10168334,17.3386,1.159360233,0.0642 
BB19_16,15,BB13_09,0.160272293,0.211423554,22.07166667,20.42733334,1.08049672,0.0336 
BB19_16,18,BB13_09,0.10829107,0.175204082,18.16485,23.93607999,0.758889927,-0.1198 
BB19_16,21,BB13_09,0.397578153,0.153392663,17.53445001,22.58153333,0.776495101,-0.1099 
BB19_16,25,BB13_09,0.04698518,0.297366036,25.96591667,25.85166668,1.004419444,0.0019 
BB19_16,12,SP03_02,0.350757981,0.201913902,22.24571167,21.59753335,1.030011683,0.0128 
BB19_16,15,SP03_02,0.21573842,0.210565894,22.80516668,20.90153334,1.091076253,0.0379 
BB19_16,18,SP03_02,1.388375081,0.150570065,16.95225,22.21541333,0.763085059,-0.1174 
BB19_16,21,SP03_02,0.245017022,0.162574642,18.40865001,23.21233333,0.793054698,-0.1007 
BB19_16,25,SP03_02,0.013925725,0.431337672,18.63666668,26.115,0.713638395,-0.1465 
BB19_16,12,SP03_19,0.345350146,0.216042582,23.41225001,15.50099999,1.5103703,0.1791 
BB19_16,15,SP03_19,0.160283604,0.228316729,22.19433334,17.92573332,1.23812694,0.0928 
