spent-media,temp(SM),temp(G),species,OD,time point
BB13_09,21,12(21),BB19_16(BB13_09),0.003833333,49
BB13_09,21,12(21),BB19_16(BB13_09),0.003,62
BB13_09,21,12(21),BB19_16(BB13_09),0.002666667,67
BB13_09,21,12(21),BB19_16(BB13_09),0.001666667,73
BB13_09,21,12(21),BB19_16(BB13_09),0.003,86
BB13_09,21,12(21),BB19_16(BB13_09),0.000166667,92
BB13_09,21,12(21),BB19_16(BB13_09),0.0005,98
BB13_09,21,12(21),BB19_16(BB13_09),-0.0005,110
BB13_09,21,12(21),BB19_16(BB13_09),-0.001666667,116
BB13_09,25,15(25),BB19_16(BB13_09),0.009833333,0
BB13_09,25,15(25),BB19_16(BB13_09),0.022,6
BB13_09,25,15(25),BB19_16(BB13_09),0.007,24
BB13_09,25,15(25),BB19_16(BB13_09),0.008166667,30
BB13_09,25,15(25),BB19_16(BB13_09),0.0075,43
BB13_09,25,15(25),BB19_16(BB13_09),0.007666667,48
BB13_09,25,15(25),BB19_16(BB13_09),0.008,54
BB13_09,25,15(25),BB19_16(BB13_09),0.007666667,67
BB13_09,25,15(25),BB19_16(BB13_09),0.008,72
BB13_09,25,15(25),BB19_16(BB13_09),0.007666667,78
BB13_09,25,15(25),BB19_16(BB13_09),0.007166667,91
BB13_09,25,15(25),BB19_16(BB13_09),0.007333333,96
BB13_09,25,15(25),BB19_16(BB13_09),0.006833333,102
BB13_09,25,15(25),BB19_16(BB13_09),0.006666667,114
BB13_09,28,18(28),BB19_16(BB13_09),0.009166667,0
BB13_09,28,18(28),BB19_16(BB13_09),0.009666667,6
BB13_09,28,18(28),BB19_16(BB13_09),0.0215,20
BB13_09,28,18(28),BB19_16(BB13_09),0.039083333,24
BB13_09,28,18(28),BB19_16(BB13_09),0.06925,30
BB13_09,28,18(28),BB19_16(BB13_09),0.18225,44
BB13_09,28,18(28),BB19_16(BB13_09),0.212166667,49
BB13_09,28,18(28),BB19_16(BB13_09),0.237833333,55
BB13_09,28,18(28),BB19_16(BB13_09),0.254333333,68
BB13_09,28,18(28),BB19_16(BB13_09),0.24375,74
BB13_09,28,18(28),BB19_16(BB13_09),0.243166667,79
BB13_09,28,18(28),BB19_16(BB13_09),0.244916667,91
BB13_09,28,18(28),BB19_16(BB13_09),0.240583333,97
BB13_09,28,18(28),BB19_16(BB13_09),0.243666667,102
BB13_09,28,18(28),BB19_16(BB13_09),0.244916667,114
BB13_09,12,21(12),BB19_16(BB13_09),0.001833333,0
BB13_09,12,21(12),BB19_16(BB13_09),0.083666667,13
BB13_09,12,21(12),BB19_16(BB13_09),0.126,18
BB13_09,12,21(12),BB19_16(BB13_09),0.174833333,24
BB13_09,12,21(12),BB19_16(BB13_09),0.2395,37
BB13_09,12,21(12),BB19_16(BB13_09),0.233333333,42
BB13_09,12,21(12),BB19_16(BB13_09),0.222166667,48
BB13_09,12,21(12),BB19_16(BB13_09),0.232333333,61
BB13_09,12,21(12),BB19_16(BB13_09),0.225333333,66
BB13_09,12,21(12),BB19_16(BB13_09),0.219833333,72
BB13_09,12,21(12),BB19_16(BB13_09),0.214166667,85
BB13_09,12,21(12),BB19_16(BB13_09),0.214333333,90
BB13_09,12,21(12),BB19_16(BB13_09),0.209833333,96
BB13_09,12,21(12),BB19_16(BB13_09),0.199333333,108
BB13_09,12,21(12),BB19_16(BB13_09),0.191333333,114
BB13_09,15,25(15),BB19_16(BB13_09),0.011333333,0
BB13_09,15,25(15),BB19_16(BB13_09),0.01,6
BB13_09,15,25(15),BB19_16(BB13_09),0.006166667,24
BB13_09,15,25(15),BB19_16(BB13_09),0.008166667,31
BB13_09,15,25(15),BB19_16(BB13_09),0.0075,45
BB13_09,15,25(15),BB19_16(BB13_09),0.007166667,49
BB13_09,15,25(15),BB19_16(BB13_09),0.007833333,55
BB13_09,15,25(15),BB19_16(BB13_09),0.0075,68
BB13_09,15,25(15),BB19_16(BB13_09),0.007666667,73
BB13_09,15,25(15),BB19_16(BB13_09),0.006833333,79
BB13_09,15,25(15),BB19_16(BB13_09),0.0155,92
BB13_09,15,25(15),BB19_16(BB13_09),0.008,98
BB13_09,15,25(15),BB19_16(BB13_09),0.007833333,104
BB13_09,15,25(15),BB19_16(BB13_09),0.016,117
BB13_09,12,28(12),BB19_16(BB13_09),0.012166667,0
BB13_09,12,28(12),BB19_16(BB13_09),0.020833333,18
BB13_09,12,28(12),BB19_16(BB13_09),0.026666667,24
BB13_09,12,28(12),BB19_16(BB13_09),0.021166667,30
BB13_09,12,28(12),BB19_16(BB13_09),0.014166667,42
BB13_09,12,28(12),BB19_16(BB13_09),0.015666667,48
BB13_09,12,28(12),BB19_16(BB13_09),0.009333333,54
BB13_09,12,28(12),BB19_16(BB13_09),0.009166667,71
BB13_09,12,28(12),BB19_16(BB13_09),0.01,77
BB13_09,12,28(12),BB19_16(BB13_09),0.013666667,89
BB13_09,12,28(12),BB19_16(BB13_09),0.008166667,95
BB13_09,12,28(12),BB19_16(BB13_09),0.008,101
BB13_09,12,28(12),BB19_16(BB13_09),0.018833333,114
BB13_09,12,28(12),BB19_16(BB13_09),0.016166667,120
BB13_09,18,28(18),BB19_16(BB13_09),0.013166667,0
BB13_09,18,28(18),BB19_16(BB13_09),0.010833333,6
BB13_09,18,28(18),BB19_16(BB13_09),0.010166667,18
BB13_09,18,28(18),BB19_16(BB13_09),0.005333333,23
BB13_09,18,28(18),BB19_16(BB13_09),0.016833333,29
BB13_09,18,28(18),BB19_16(BB13_09),0.014333333,42
BB13_09,18,28(18),BB19_16(BB13_09),0.006833333,47
BB13_09,18,28(18),BB19_16(BB13_09),0.006333333,53
BB13_09,18,28(18),BB19_16(BB13_09),0.006666667,67
BB13_09,18,28(18),BB19_16(BB13_09),0.025666667,72
BB13_09,18,28(18),BB19_16(BB13_09),0.008666667,77
BB13_09,18,28(18),BB19_16(BB13_09),0.007166667,90
BB13_09,18,28(18),BB19_16(BB13_09),0.016666667,96
BB13_09,18,28(18),BB19_16(BB13_09),0.0255,101
BB13_09,18,28(18),BB19_16(BB13_09),0.023666667,114
BB13_09,28,12(28),WYC41_02(BB13_09),0.0145,0
BB13_09,28,12(28),WYC41_02(BB13_09),0.014,18
BB13_09,28,12(28),WYC41_02(BB13_09),0.014,24
BB13_09,28,12(28),WYC41_02(BB13_09),0.013,30
BB13_09,28,12(28),WYC41_02(BB13_09),0.0115,42
BB13_09,28,12(28),WYC41_02(BB13_09),0.0115,48
BB13_09,28,12(28),WYC41_02(BB13_09),0.0095,54
BB13_09,28,12(28),WYC41_02(BB13_09),0.009666667,72
BB13_09,28,12(28),WYC41_02(BB13_09),0.009833333,78
BB13_09,28,12(28),WYC41_02(BB13_09),0.009666667,90
BB13_09,28,12(28),WYC41_02(BB13_09),0.0085,96
BB13_09,28,12(28),WYC41_02(BB13_09),0.0095,102
BB13_09,28,12(28),WYC41_02(BB13_09),0.009,114
BB13_09,28,12(28),WYC41_02(BB13_09),0.009333333,120
BB13_09,21,12(21),WYC41_02(BB13_09),0.0148,0
BB13_09,21,12(21),WYC41_02(BB13_09),0.015933333,13
BB13_09,21,12(21),WYC41_02(BB13_09),0.016066667,19
BB13_09,21,12(21),WYC41_02(BB13_09),0.0152,25
BB13_09,21,12(21),WYC41_02(BB13_09),0.0156,38
BB13_09,21,12(21),WYC41_02(BB13_09),0.013233333,43
BB13_09,21,12(21),WYC41_02(BB13_09),0.0111,49
BB13_09,21,12(21),WYC41_02(BB13_09),0.011233333,62
BB13_09,21,12(21),WYC41_02(BB13_09),0.010233333,67
BB13_09,21,12(21),WYC41_02(BB13_09),0.008033333,73
BB13_09,21,12(21),WYC41_02(BB13_09),0.008433333,86
BB13_09,21,12(21),WYC41_02(BB13_09),0.005166667,92
BB13_09,21,12(21),WYC41_02(BB13_09),0.0049,98
BB13_09,21,12(21),WYC41_02(BB13_09),0.002266667,110
BB13_09,21,12(21),WYC41_02(BB13_09),0.002366667,116
BB13_09,25,15(25),WYC41_02(BB13_09),0.01,0
BB13_09,25,15(25),WYC41_02(BB13_09),0.012666667,6
BB13_09,25,15(25),WYC41_02(BB13_09),0.008333333,24
BB13_09,25,15(25),WYC41_02(BB13_09),0.009,30
BB13_09,25,15(25),WYC41_02(BB13_09),0.007833333,43
BB13_09,25,15(25),WYC41_02(BB13_09),0.007833333,48
BB13_09,25,15(25),WYC41_02(BB13_09),0.007166667,54
BB13_09,25,15(25),WYC41_02(BB13_09),0.007333333,67
BB13_09,25,15(25),WYC41_02(BB13_09),0.0075,72
BB13_09,25,15(25),WYC41_02(BB13_09),0.007166667,78
BB13_09,25,15(25),WYC41_02(BB13_09),0.007,91
BB13_09,25,15(25),WYC41_02(BB13_09),0.0065,96
BB13_09,25,15(25),WYC41_02(BB13_09),0.0055,102
BB13_09,25,15(25),WYC41_02(BB13_09),0.005166667,114
BB13_09,28,18(28),WYC41_02(BB13_09),0.0095,0
BB13_09,28,18(28),WYC41_02(BB13_09),0.00925,6
BB13_09,28,18(28),WYC41_02(BB13_09),0.00925,20
BB13_09,28,18(28),WYC41_02(BB13_09),0.01075,24
BB13_09,28,18(28),WYC41_02(BB13_09),0.009,30
BB13_09,28,18(28),WYC41_02(BB13_09),0.00925,44
BB13_09,28,18(28),WYC41_02(BB13_09),0.009,49
BB13_09,28,18(28),WYC41_02(BB13_09),0.012,55
BB13_09,28,18(28),WYC41_02(BB13_09),0.1425,68
BB13_09,28,18(28),WYC41_02(BB13_09),0.2125,74
BB13_09,28,18(28),WYC41_02(BB13_09),0.22125,79
BB13_09,28,18(28),WYC41_02(BB13_09),0.20775,91
BB13_09,28,18(28),WYC41_02(BB13_09),0.20625,97
BB13_09,28,18(28),WYC41_02(BB13_09),0.208,102
BB13_09,28,18(28),WYC41_02(BB13_09),0.212,114
BB13_09,12,21(12),WYC41_02(BB13_09),0.0045,0
BB13_09,12,21(12),WYC41_02(BB13_09),0.149666667,13
BB13_09,12,21(12),WYC41_02(BB13_09),0.226833333,18
BB13_09,12,21(12),WYC41_02(BB13_09),0.215666667,24
BB13_09,12,21(12),WYC41_02(BB13_09),0.198166667,37
BB13_09,12,21(12),WYC41_02(BB13_09),0.2165,42
BB13_09,12,21(12),WYC41_02(BB13_09),0.227333333,48
BB13_09,12,21(12),WYC41_02(BB13_09),0.271,61
BB13_09,12,21(12),WYC41_02(BB13_09),0.272166667,66
BB13_09,12,21(12),WYC41_02(BB13_09),0.284333333,72
BB13_09,12,21(12),WYC41_02(BB13_09),0.3085,85
BB13_09,12,21(12),WYC41_02(BB13_09),0.295333333,90
BB13_09,12,21(12),WYC41_02(BB13_09),0.314666667,96
BB13_09,12,21(12),WYC41_02(BB13_09),0.307333333,108
BB13_09,12,21(12),WYC41_02(BB13_09),0.2925,114
BB13_09,15,25(15),WYC41_02(BB13_09),0.011166667,0
BB13_09,15,25(15),WYC41_02(BB13_09),0.009666667,6
BB13_09,15,25(15),WYC41_02(BB13_09),0.005833333,24
BB13_09,15,25(15),WYC41_02(BB13_09),0.007833333,31
BB13_09,15,25(15),WYC41_02(BB13_09),0.007,45
BB13_09,15,25(15),WYC41_02(BB13_09),0.006833333,49
BB13_09,15,25(15),WYC41_02(BB13_09),0.007833333,55
BB13_09,15,25(15),WYC41_02(BB13_09),0.007166667,68
BB13_09,15,25(15),WYC41_02(BB13_09),0.007166667,73
BB13_09,15,25(15),WYC41_02(BB13_09),0.007,79
BB13_09,15,25(15),WYC41_02(BB13_09),0.018333333,92
BB13_09,15,25(15),WYC41_02(BB13_09),0.007333333,98
BB13_09,15,25(15),WYC41_02(BB13_09),0.005666667,104
BB13_09,15,25(15),WYC41_02(BB13_09),0.0115,117
BB13_09,12,28(12),WYC41_02(BB13_09),0.014,0
BB13_09,12,28(12),WYC41_02(BB13_09),0.0255,18
BB13_09,12,28(12),WYC41_02(BB13_09),0.029,24
BB13_09,12,28(12),WYC41_02(BB13_09),0.021166667,30
BB13_09,12,28(12),WYC41_02(BB13_09),0.013166667,42
BB13_09,12,28(12),WYC41_02(BB13_09),0.013333333,48
BB13_09,12,28(12),WYC41_02(BB13_09),0.008,54
BB13_09,12,28(12),WYC41_02(BB13_09),0.007333333,71
BB13_09,12,28(12),WYC41_02(BB13_09),0.007666667,77
BB13_09,12,28(12),WYC41_02(BB13_09),0.011666667,89
BB13_09,12,28(12),WYC41_02(BB13_09),0.0075,95
BB13_09,12,28(12),WYC41_02(BB13_09),0.006166667,101
BB13_09,12,28(12),WYC41_02(BB13_09),0.018666667,114
BB13_09,12,28(12),WYC41_02(BB13_09),0.013,120
BB13_09,18,28(18),WYC41_02(BB13_09),0.014,0
BB13_09,18,28(18),WYC41_02(BB13_09),0.012333333,6
BB13_09,18,28(18),WYC41_02(BB13_09),0.014,18
BB13_09,18,28(18),WYC41_02(BB13_09),0.01,23
BB13_09,18,28(18),WYC41_02(BB13_09),0.020333333,29
BB13_09,18,28(18),WYC41_02(BB13_09),0.0175,42
BB13_09,18,28(18),WYC41_02(BB13_09),0.009833333,47
BB13_09,18,28(18),WYC41_02(BB13_09),0.008166667,53
BB13_09,18,28(18),WYC41_02(BB13_09),0.009,67
BB13_09,18,28(18),WYC41_02(BB13_09),0.027166667,72
BB13_09,18,28(18),WYC41_02(BB13_09),0.0095,77
